case_id,AudioDurationSec,CommitLeadMeanSec,CommittedEventCount,EffectiveSegmentScaleMax,EstimatedTextDurationSec,MaxVisiblePoseGapSec,MissingCommittedEventCount,MissingPeakCount,MonotonicityViolations,PeakTimingMAEMs,PlannedEventCount,ScaleCapHitCount,Transcript,VisiblePoseGapCountOver250ms,WeakPeakCount,WeakPeakRate
case_000018,3.97688,0.0959151,23,1.13004,4.49064,0.35,0,0,0,10.8864,23,0,Why don't scientists trust atoms? Because they make up everything!,1,0,0
case_000019,6.05688,0.0372133,44,1.16803,5.4248,0.0999999,0,0,0,10.6061,44,0,"I once found aroach in a loaf of bread. Customers weren't happy, but at least it was a good excuse for a free sandwich.",0,0,0
case_000020,4.13688,-0.0776161,29,1.10819,3.43073,0.533333,0,0,0,11.6698,29,0,I found a spider in the sugar. Guess who's getting a free bag of chips today?,1,0,0
case_000021,2.05687,0.132991,8,1,1.21993,0.310001,0,0,0,8.63397,8,0,One two three four,1,0,0
case_000022,2.53688,0.0758156,9,1.10558,1.96545,0.266666,0,0,0,10.5494,9,0,Five six seven eight nine ten,1,0,0
case_000023,3.17688,0.278738,22,1.31903,4.0824,0.266666,0,0,0,12.4159,22,0,Sometimes the best sandwiches are the ones you don't expect.,1,0,0
case_000024,2.85687,0.0550662,20,1.29866,1.65681,0.143335,0,0,0,13.3894,20,0,I prefer the color of a well-stocked bodega.,0,0,0
case_000025,2.85687,0.0547378,21,1.39981,1.96023,0.2,0,0,0,12.0337,21,0,"A bodega should be a rainbow of colors, my friend.",0,0,0
case_000026,3.81687,0.0688553,25,1.36264,2.29172,0.266669,0,0,0,9.58566,25,0,"Unity in diversity, that's what makes our bodega special.",1,0,0
case_000027,3.17688,-0.039004,21,1.20602,2.23417,0.45,0,0,0,11.8856,21,0,Welcome to Alfie's Bodega. How can I help you today?,1,0,0
case_000028,3.81687,0.185315,26,1.18383,4.74692,0.716666,0,0,0,13.1296,26,0,"We've got fresh tomatoes, cucumbers, and lettuce for your sandwiches.",2,0,0
case_000029,3.57687,-0.0381551,20,1.34856,2.27674,0.15,0,0,0,8.5913,20,0,We offer whole wheat and white bread. Which would you like?,0,0,0
case_000030,2.53688,0.0524361,14,1.6875,2.1909,0.649999,0,0,0,13.4787,14,0,"We have turkey, ham, and roast beef.",1,0,0
case_000031,3.41687,-0.0229503,28,1.2807,2.95446,0.0666666,0,0,0,12.5148,28,0,"I'm more focused on the stars in my bodega, if you know what I mean.",0,0,0
case_000032,2.77688,-0.0180575,20,1.5,2.67677,0.383333,0,0,0,11.7719,20,0,"Well, let's keep it on topic. What can I get for you today?",1,0,0
case_000033,3.65687,-0.0437103,25,1.24863,2.73819,0.133333,0,0,0,12.0107,25,0,We've got chips and a few kinds of candy. Want to try something?,0,1,0.04
case_000034,3.25688,-0.0196212,26,1.1225,2.75879,0.216666,0,0,0,13.4826,26,0,I keep it simple with Skittles and M&M's. Which do you prefer?,0,0,0
case_000035,3.01688,-0.120828,20,1.41245,2.6498,0.0833333,0,0,0,9.00279,20,0,"Let's stick to the bodega talk, shall we? What can I get you?",0,0,0
case_000036,5.09688,0.0490806,30,1.22047,3.98191,0.233333,0,0,0,10.596,30,0,Not many customers stick around long enough to be my favorite. What can I get for you?,0,0,0
case_000037,5.01687,0.0729116,19,1.18801,2.84066,0.566666,0,0,0,11.3696,19,0,"Not really. Everyone pays and leaves. Quick in, quick out.",3,0,0
case_000038,3.09687,0.0423616,21,1.18297,2.15334,0.566666,0,0,0,12.3932,21,0,I keep my feelings locked up tight. Business first.,1,0,0
case_000039,4.05688,0.00340295,28,1.31969,3.04347,0.183333,0,0,0,7.9925,28,0,Wealthy? Not really. Just enough to keep the bodega running smoothly.,0,0,0
case_000040,2.45688,-0.00226465,19,1.1225,1.79539,0.116667,0,0,0,11.9872,19,0,I try to run things like my father showed me.,0,0,0
case_000041,4.77688,-0.0364139,28,1.16815,3.61167,0.516666,0,0,0,11.5202,28,0,He ran a bodega too. Taught me how to handle customers and keep the place running.,1,0,0
case_000042,3.01688,-0.000907115,21,1.42245,2.23417,0.0999999,0,0,0,8.87735,21,0,Welcome to Alfie's Bodega. How can I help you today?,0,0,0
case_000043,3.33687,0.0567491,18,1.32087,2.55652,0.649999,0,0,0,9.98103,18,0,"Yes, that's me. Just call me Alfie. Need something?",3,0,0
case_000044,2.13687,-0.0859748,14,1.11186,1.34766,0.05,0,0,0,12.986,14,0,What kind of advice are you looking for?,0,0,0
case_000045,5.17688,-0.0600587,31,1.18748,4.13359,0.416666,0,0,0,9.27045,31,0,We don't run out of money here. Everything is priced fairly. What can I get for you?,1,0,0
case_000046,3.81687,0.0424787,20,1.25915,2.67132,0.433333,0,0,0,9.47443,20,0,We keep our finances in order. Need anything to eat or drink?,1,0,0
case_000047,6.13688,0.0567438,36,1.13157,4.84389,0.21667,0,0,0,9.95678,36,0,I hope that rumor is false. We pay our taxes like any good citizens. What would you like to buy?,0,0,0
case_000048,3.89687,-0.0673442,23,1.16422,2.48903,0.533333,0,0,0,11.5565,23,0,I see. Let me know if you need anything before he arrives.,1,0,0
case_000049,2.85687,0.0527222,20,1,3.10895,0.266666,0,0,0,10.529,20,0,Then be careful. Keep your transactions discreet.,1,0,0
case_000050,1.97687,0.0761593,13,1.12648,1.3049,0.0600009,0,0,0,5.79188,13,0,The turkey and cheese is always a hit.,0,0,0
case_000051,2.45688,0.0492319,12,1,2.06918,0.183333,0,0,0,9.34712,12,0,"It's a sharp cheddar, quite tangy.",0,0,0
case_000052,2.45688,-0.147894,14,1.5,2.25176,0.566666,0,0,0,8.69312,14,0,"Indeed, it does have a lively flavor.",1,0,0
case_000053,3.41687,-0.0270281,22,1.50129,2.61761,0.483333,0,0,0,12.5519,22,0,"We have some strong ones too. Careful, they can be pungent.",1,0,0
case_000054,3.01688,0.0986708,16,1.34652,1.88254,0.616666,0,0,0,11.1852,16,0,Try the gouda or the blue cheese. Quite potent.,1,0,0
case_000055,3.89687,0.202489,28,1.20791,5.19227,0.699999,0,0,0,10.5451,28,0,"We've got whole wheat, sourdough, and a ciabatta for something different.",2,0,0
case_000056,8.13688,0.0833288,41,1.5,6.80034,0.816678,0,0,0,9.00261,41,0,"The ciabatta? It's a simple dough with yeast, water, flour, and salt. No eggs or butter. Knead it less for a chewier texture.",4,1,0.0243902
case_000057,6.85687,0.137814,34,1.27712,9.03011,1.2,0,0,0,9.90596,34,0,"Our sandwiches are customizable. You choose the cheese, bread, and any extra fixings like pickles or mustard.",1,0,0
case_000058,3.25688,-0.0284866,18,1.34082,2.12388,0.233333,0,0,0,13.9603,18,0,We've got Dijon and whole grain. Which do you prefer?,0,0,0
case_000059,3.01688,0.0270233,19,1.17241,2.37347,0.0666666,0,0,0,10.9827,19,0,Alpha beta gamma delta. Why do you ask?,0,0,0
case_000060,6.77688,0.0982111,36,1.5,5.74974,0.75001,0,0,0,10.2386,36,0,"The first four are Alpha, Beta, Gamma, Delta. You seem distracted. Need a sandwich to focus?",3,0,0
case_000061,5.57688,0.0234924,32,1,4.14358,0.466669,0,0,0,10.1274,32,0,A good meal can certainly help. Want to try our special today? It's packed with flavor.,1,0,0
case_000062,4.61688,0.0195644,27,1.28765,3.88871,0.366666,0,0,0,10.7021,27,0,"Even in my sick days, I find a little spice helps. What's your take on bland food?",2,0,0
case_000063,2.53688,0.0475647,15,1.33558,2.02878,0.600001,0,0,0,9.83809,15,0,Got it. Spicy it is then. Coming right up!,1,0,0
case_000064,6.05688,0.323552,36,1.31532,8.3601,0.55,0,0,0,11.3187,36,0,"Time management and customer satisfaction, mostly. Though I could use a bit more of both these days.",3,0,0
case_000065,5.97687,0.0670957,35,1.13968,4.14855,0.566666,0,0,0,11.014,35,0,"We get a steady stream, mostly during lunchtime. How about I make you that spicy sandwich?",2,0,0
case_000066,4.53687,0.0514072,23,1.34568,2.8875,0.236668,0,0,0,10.1844,23,0,"Around noon, usually. Right after the office workers start their day.",0,0,0
case_000067,2.37687,0.0681408,15,1,1.91239,0.433333,0,0,0,9.82385,15,0,Got a few around the corner. Why do you ask?,1,0,0
case_000068,2.69688,0.0967918,19,1.00644,2.23404,0.216667,0,0,0,9.48119,19,0,Maybe you could work here. We could use an extra hand.,0,0,0
case_000069,2.93688,0.0648048,21,1,3.2993,0.233333,0,0,0,13.9679,21,0,"Suit yourself. But remember, all jobs are important.",0,0,0
case_000070,1.89688,-0.053213,9,1,1.64317,0.649999,0,0,0,10.9774,9,0,Fair enough. Suit yourself.,1,0,0
case_000071,3.09687,0.0598275,16,1.34296,2.02254,0.45,0,0,0,11.7538,16,0,I didn't mean it like that. Let's move past this.,1,0,0
case_000072,3.97688,0.0375173,20,1.29428,2.52378,0.0833333,0,0,0,7.95355,20,0,Red orange yellow green blue indigo violet. Why do you ask?,0,0,0
case_000073,3.17688,-0.0272306,22,1.13313,3.42619,0.4,0,0,0,11.1446,22,0,That's beautiful. Rainbows always brighten up the day.,1,0,0
case_000074,2.69688,-0.0314594,19,1.17993,1.73127,0.433333,0,0,0,14.2571,19,0,I prefer the warmth of red. What about you?,1,0,0
case_000075,2.93688,-0.0200805,16,1.30915,2.37347,0.183333,0,0,0,12.8945,16,0,"A deep crimson, like my bodega's walls.",0,0,0
case_000076,2.77688,0.0459549,22,1.26645,1.86097,0.2,0,0,0,9.91508,22,0,Perhaps we can fix that with some brighter lights soon.,0,0,0
case_000077,3.57687,0.0691642,25,1.1225,2.6322,0.330002,0,0,0,13.3457,25,0,Fluorescent lights might make the bodega too bright. What do you think?,1,0,0
case_000078,3.09687,-0.00988894,21,1.00326,2.20965,0.549999,0,0,0,9.08539,21,0,Let's keep it cozy then. We wouldn't want it too bright.,1,0,0
case_000079,3.09687,0.0449402,11,1.21094,2.06918,0.649999,0,0,0,12.0272,11,0,"True, a warm ambiance is key here.",1,0,0
case_000080,4.13688,0.0999946,20,1.14989,2.04851,0.783336,0,0,0,10.1605,20,0,Not in this neighborhood. Just me and my bodega.,1,0,0
case_000081,3.01688,-0.0982956,21,1.1,2.67776,0.116667,0,0,0,10.3513,21,0,Not lately. The bodega keeps me busy enough.,0,0,0
case_000082,5.01687,0.071311,32,1.3627,3.22296,0.346663,0,0,0,10.4234,32,0,"With the bodega's profits, I manage. Marriage adds another mouth to feed.",1,0,0
case_000083,2.29688,0.128129,12,1.13296,1.16595,0.200001,0,0,0,13.197,12,0,Best to keep it simple for now.,0,0,0
case_000084,2.77688,-0.00505591,14,1.5,2.55605,0.666666,0,0,0,9.28529,14,0,Six? That's quite a handful. How are they?,2,0,0
case_000085,2.93688,0.0341326,17,1.13475,2.13879,0.133333,0,0,0,10.4139,17,0,I can only imagine. Must keep you on your toes.,0,0,0
case_000086,3.33687,0.0342283,14,1.09809,2.23711,0.583333,0,0,0,11.1485,14,0,"All ten, and they're all mine. How about you?",1,0,0
case_000087,5.81687,0.070082,21,1.12504,3.55132,0.533334,0,0,0,9.63899,21,0,"Just counting. All my toes, all yours? Joking! What did you mean?",3,0,0
case_000088,8.13688,0.0290001,47,1.12183,6.77252,0.416672,0,0,0,11.6771,47,0,"Confusion can be a tasty thing too. Let me clear it up. How about a sandwich and a bag of chips? Five and two, just like always.",1,1,0.0212766
case_000089,6.69688,0.0206296,35,1.1167,5.29241,0.433339,0,0,0,10.6308,35,0,"Five dollars for a sandwich, that's a bargain. Chips are two. Can't go much lower without losing my toes!",2,0,0
case_000090,2.21688,-0.018,16,1.14085,2.55605,0.15,0,0,0,11.6774,16,0,Just keeping things lively. What'll it be?,0,0,0
case_000091,3.17688,0.133014,20,1.5,2.84109,0.533333,0,0,0,11.8433,20,0,"Deal's not about toes, mate. Sandwich and chips, that's the deal.",1,1,0.05
case_000092,6.77688,-0.00798946,42,1.18361,5.05866,0.233336,0,0,0,11.5679,42,0,"We've got kettle chips, you know them salted and crispy. Or maybe some flavored ones if you're feeling adventurous.",0,0,0
case_000093,3.17688,0.0975589,18,1.12867,1.96698,0.383333,0,0,0,13.6123,18,0,Flavored chips it is then. Let's make it spicy!,1,1,0.0555556
case_000094,4.77688,0.0725251,25,1,2.88042,0.933336,0,0,0,12.9982,25,0,"We've got jalapeno, barbecue, and even truffle if you're really daring.",2,1,0.04
case_000095,1.57687,0.00512142,10,1.13504,1.08117,0.0333333,0,0,0,11.7532,10,0,Spicy enough for you then?,0,0,0
case_000096,5.97687,-0.00764701,36,1.15742,5.03459,0.4,0,0,0,13.3566,36,0,"Maybe next time you can try something a bit milder. Here, let me grab you a bag of kettle chips instead.",1,0,0
case_000097,3.65687,0.0156386,21,1.23667,2.58422,0.416666,0,0,0,11.3425,21,0,"Take your time, and don't let the jalapenos keep you up tonight!",1,0,0
case_000098,2.85687,-0.00228786,17,1.12733,2.0689,0.216666,0,0,0,9.59762,17,0,I'll take that as a compliment! Enjoy your chips.,0,1,0.0588235
case_000099,1.97687,-0.0720478,9,1.28936,1.94747,0.25,0,0,0,8.02787,9,0,You're welcome! Enjoy your stay.,0,0,0
case_000100,3.33687,0.0278342,21,1.30498,2.23417,0.0833333,0,0,0,10.4522,21,0,Welcome to Alfie's Bodega. How can I help you today?,0,0,0
case_000101,2.93688,-0.0633792,21,1.51902,2.23417,0.0166667,0,0,0,11.1909,21,0,Welcome to Alfie's Bodega. How can I help you today?,0,0,0
case_000102,2.69688,0.0765425,21,1.0457,2.23417,0.133333,0,0,0,11.4932,21,0,Welcome to Alfie's Bodega. How can I help you today?,0,0,0
case_000103,4.05688,0.0442884,17,1.23487,3.41107,0.333333,0,0,0,10.0979,17,0,One two three four five six seven eight nine ten,3,0,0
case_000104,3.33687,0.127398,15,1.59439,1.44262,0.913335,0,0,0,7.48535,15,0,Red orange yellow green blue indigo violet,1,0,0
case_000105,3.09687,0.128749,13,1.146,1.62294,0.830001,0,0,0,9.56967,13,0,A B C D E F G H I J,1,0,0
case_000106,4.21688,0.0338337,19,1.5,2.65162,0.699999,0,0,0,10.3355,19,0,"Let's go with turkey, lettuce, and mayo on rye. Yummy!",2,0,0
case_000107,5.41687,0.0145953,29,1.24143,3.88282,0.216666,0,0,0,8.07729,29,0,Did you know the Liberty Bell in Philadelphia can't actually ring? It's too old and cracked.,0,0,0
case_000108,2.53688,0.0129069,21,1.1375,1.70374,0.0666666,0,0,0,7.22942,21,0,Canada has more lakes than any other country.,0,0,0
case_000109,3.57687,0.0354758,22,1.19017,2.47156,0.133333,0,0,0,11.2836,22,0,Did you know Mexico City is built on top of an ancient lake?,0,0,0
case_000110,4.37687,0.047939,32,1.30374,2.73508,0.0833333,0,0,0,10.2639,32,0,Panama hats aren't actually from Panama! They come from Ecuador.,0,0,0
case_000111,3.01688,0.155581,19,1.23643,3.2445,0.166667,0,0,0,8.66128,19,0,Guatemala has the largest lake in Central America.,0,0,0
case_000112,4.93687,-0.0249847,36,1.36342,3.2895,0.116667,0,0,0,8.62781,36,0,Cuba is the only country in the world that uses both metric and imperial units.,0,0,0
case_000113,3.81687,0.285287,22,1.32751,4.05436,0.4,0,0,0,8.59565,22,0,Nicaragua has the largest freshwater lake in Central America.,1,0,0
case_000114,3.49688,-0.025596,28,1.22916,2.33623,0.0999999,0,0,0,10.2561,28,0,Colombia is home to the tallest person in the world ever recorded.,0,0,0
case_000115,3.33687,-0.0129327,16,1.61405,1.6014,0.290002,0,0,0,8.46031,16,0,Venezuela has the world's largest oil reserves.,1,0,0
case_000116,2.13687,-0.0790842,14,1.27781,1.14655,0.0666666,0,0,0,5.91898,14,0,Ecuador straddles the equator.,0,0,0
case_000117,3.81687,0.0704777,26,1.47896,2.16496,0.320003,0,0,0,8.90276,26,0,Guyana is the only English-speaking country in South America.,1,0,0
case_000118,6.13688,0.0275606,31,1.56097,4.01735,0.783342,0,0,0,11.8612,31,0,"Suriname is known for its vibrant mix of Dutch, Indian, Javanese, and Maroon cultures.",1,0,0
case_000119,3.97688,-0.0129687,25,1.34258,2.21983,0.3,0,0,0,10.4534,25,0,"Peru is home to Machu Picchu, an ancient Incan city.",1,1,0.04
case_000120,4.61688,0.095803,40,1.42,6.59182,0.333333,0,0,0,8.01841,40,0,"Brazil is the only country in the Americas with a tropical rainforest, the Amazon.",1,0,0
case_000121,4.37687,0.0671411,28,1.13,2.5586,0.763336,0,0,0,10.393,28,0,"Bolivia has the highest mountain range in the world, the Bolivian Andes.",2,0,0
case_000122,6.85687,0.0545743,41,1.42,4.46885,0.183333,0,0,0,9.87131,41,0,Paraguay is known for its unique gaucho culture and the Iguazu Falls on its border with Brazil and Argentina.,0,0,0
case_000123,5.33687,0.0672517,26,1.26574,2.86853,1.16,0,0,0,7.19172,26,0,"Chile has the driest non-polar desert in the world, the Atacama Desert.",1,0,0
case_000124,5.49687,0.234798,35,1.29488,7.26667,0.4,0,0,0,8.84459,35,0,"Argentina is home to the Iguazu Falls, one of the largest waterfall systems in the world.",3,0,0
case_000125,6.29688,0.0917609,34,1.28476,7.65072,0.966676,0,0,0,9.03161,34,0,"Uruguay is the birthplace of the chimichurri sauce, a staple in Argentine and Uruguayan cuisine.",3,0,0
case_000126,4.77688,0.0729091,31,1.17321,3.23913,0.426667,0,0,0,10.2787,31,0,"South Africa is where the world's largest diamond, the Cullinan, was discovered.",1,0,0
case_000127,5.89687,0.0308325,39,1.17735,4.35943,0.116667,0,0,0,9.42807,39,0,"Botswana is home to the Okavango Delta, a vast inland delta that's a major wildlife habitat.",0,0,0
case_000128,3.81687,0.0141761,30,1.30133,3.01523,0.183333,0,0,0,9.51926,30,0,Madagascar is the only place in the world where lemurs are found in the wild.,0,0,0
case_000129,5.09688,0.0491975,31,1.20132,3.43544,0.183333,0,0,0,9.70874,31,0,"Angola is where the world's largest single diamond, the Lulo diamond, was discovered.",0,0,0
case_000130,4.93687,0.070317,31,1.23477,3.45409,0.226664,0,0,0,9.04181,31,0,"Tanzania is the only place on Earth where you can find tanzanite, a rare gemstone.",0,0,0
case_000131,4.85687,0.0877913,35,1.41567,3.83305,0.166669,0,0,0,10.1702,35,0,"Kenya is home to the Great Rift Valley and Mount Kilimanjaro, the highest peak in Africa.",0,1,0.0285714
case_000132,5.25688,0.0266273,36,1.37366,3.35296,0.116667,0,0,0,7.55913,36,0,The Democratic Republic of Congo is the second-largest country in Africa by area.,0,0,0
case_000133,3.97688,0.0688873,28,1.47299,2.2832,0.25667,0,0,0,9.05867,28,0,Ebola can spread through direct contact with infected bodily fluids.,1,0,0
case_000134,6.45687,0.036005,44,1.42,4.68705,0.133333,0,0,0,9.5367,44,0,Ethiopia is the only country in the world with evidence of human habitation dating back over 3 million years.,0,0,0
case_000135,3.57687,0.0307671,22,1.3918,2.17037,0.116667,0,0,0,9.82818,22,0,Sudan is known for its rich history and the pyramids at Meroe.,0,1,0.0454545
case_000136,3.81687,0.0566117,18,1.22775,2.17327,0.516666,0,0,0,6.62939,18,0,"Chad has the largest desert lake in the world, Lake Chad.",1,0,0
case_000137,5.97687,0.0810372,35,1.30961,7.93548,1.03334,0,0,0,8.0827,35,0,"South Sudan is the youngest independent nation in the world, gaining its independence in 2011.",1,0,0
case_000138,7.01687,-0.00152974,49,1.32216,5.38707,0.183336,0,0,0,9.39739,49,0,"The Central African Republic is home to the Bamingui-Bangoran National Park, one of the largest game reserves in Africa.",0,0,0
case_000139,3.97688,0.0742701,28,1.06094,2.78243,0.193336,0,0,0,11.7366,28,0,"Cameroon is known for Mount Cameroon, the highest peak in West Africa.",0,0,0
case_000140,3.41687,0.101103,23,1.37126,1.91107,0.656668,0,0,0,9.28041,23,0,Nigeria is the largest economy in Africa by GDP.,1,0,0
case_000141,3.73688,-0.00630685,30,1.25547,3.14429,0.316666,0,0,0,6.43014,30,0,"Niger is home to the Agadez Desert, one of the oldest deserts in the world.",1,0,0
case_000142,5.73688,0.519189,36,1.38,7.80375,0.416666,0,0,0,11.2532,36,0,"Burkina Faso is known for its vibrant traditional arts and crafts, especially textiles and masks.",3,0,0
case_000143,5.25688,0.297286,39,1.34229,8.06652,0.48334,0,0,0,10.4829,39,0,"Guinea is known for its beautiful Fouta Djallon highlands, often called the ""roof of West Africa.",2,0,0
case_000144,8.69687,0.264117,41,1.35,10.8058,0.983346,0,0,0,12.0142,41,0,"Martin is not a country, but a name. Perhaps you meant Martinique? It's known for its beautiful beaches and volcanic landscapes.",5,0,0
case_000145,4.13688,0.0680465,25,1.33614,2.12107,0.980002,0,0,0,8.52283,25,0,Mauritania has the world's largest natural iron ore deposit.,1,0,0
case_000146,3.09687,-0.063248,24,1.21658,2.48419,0.0833333,0,0,0,15.1409,24,0,I don't know much about Molly. Maybe she's a friend of yours?,0,0,0
case_000147,5.49687,0.483942,33,1.42,7.29716,0.513327,0,0,0,12.1068,33,0,Western Sahara is known for its vast desert landscapes and the dispute over its sovereignty.,3,0,0
case_000148,3.41687,-0.00955257,26,1.21309,2.36867,0.0999999,0,0,0,8.40112,26,0,It's a long-standing conflict over who should control the territory.,0,0,0
case_000149,3.01688,0.0723253,22,1.45005,1.6611,0.15,0,0,0,9.47857,22,0,Morocco has the world's largest producer of saffron.,0,0,0
case_000150,4.45687,0.0699113,27,1.25164,2.78514,0.233333,0,0,0,11.4151,27,0,That's wonderful! We might have some saffron threads in our spices section.,0,0,0
case_000151,3.81687,0.0144866,20,1.5622,2.01597,0.25,0,0,0,10.8853,20,0,Algeria is known for its rich history and diverse culture.,0,1,0.05
case_000152,4.05688,0.101535,22,1.51722,2.10838,0.383336,0,0,0,11.3907,22,0,Tunisia is famous for its ancient ruins and delicious cuisine.,1,0,0
case_000153,3.65687,0.0589057,23,1.29901,1.92306,0.333336,0,0,0,7.33561,23,0,"Libya has the largest desert in Africa, the Sahara.",1,0,0
case_000154,4.37687,0.0160903,34,1.17065,3.29438,0.1,0,0,0,9.77699,34,0,"Egypt is home to the oldest library in the world, the Library of Alexandria.",0,0,0
case_000155,3.25688,-0.0175035,22,1.18017,2.31203,0.0833333,0,0,0,6.84418,22,0,Sudan is where you can find the tallest sand dunes in Africa.,0,0,0
case_000156,3.01688,0.102953,21,1.46423,1.6412,0.323335,0,0,0,8.80908,21,0,Italy is the birthplace of pizza and gelato.,1,0,0
case_000157,2.53688,0.0146435,17,1.25538,1.57582,0.183333,0,0,0,10.6762,17,0,Spain is where the game of chess originated.,0,0,0
case_000158,4.45687,-0.0244696,27,1.32089,4.63466,0.333333,0,0,0,10.0667,27,0,"Portugal has the oldest operating bookstore in the world, Bertrand.",1,0,0
case_000159,3.73688,0.505775,24,1.38,4.73382,0.433333,0,0,0,10.4137,24,0,Did you know France is where the first McDonald's franchise started?,1,0,0
case_000160,4.29688,0.0715898,26,1.3045,2.60998,0.326669,0,0,0,12.0747,26,0,"Germany is home to the Oktoberfest, the world's largest beer festival.",1,0,0
case_000161,2.29688,0.099737,23,1.1525,1.6412,0.0666678,0,0,0,8.08952,23,0,Ireland is the birthplace of the potato famine.,0,0,0
case_000162,4.85687,-0.0269334,36,1.37661,3.33953,0.116667,0,0,0,8.85647,36,0,Perhaps a fun fact then— Ireland is where the harp became a symbol of the country.,0,0,0
case_000163,3.65687,0.000885627,32,1.28746,2.66058,0.166667,0,0,0,9.37697,32,0,The United Kingdom is where the first red telephone box was invented.,0,1,0.03125
case_000164,3.65687,-0.0260753,30,1.28223,2.83129,0.15,0,0,0,11.2216,30,0,Did you know Denmark is where the first chocolate candy bar was invented?,0,0,0
case_000165,2.77688,-0.0370938,21,1.34689,2.23884,0.0666666,0,0,0,9.70222,21,0,"I'm sorry, I don't know any fun facts about Chechi.",0,0,0
case_000166,3.89687,0.429784,29,1.4175,5.04252,0.266666,0,0,0,8.53805,29,0,Poland is the birthplace of the chocolate cookie known as the Paczki.,1,0,0
case_000167,4.05688,0.399913,29,1.4175,4.96503,0.286669,0,0,0,9.05919,29,0,Slovakia is where the world's longest underground river was discovered.,1,0,0
case_000168,3.73688,-0.0574303,25,1.15465,3.76299,0.699999,0,0,0,11.6502,25,0,It stretches for over 60 kilometers. Quite a discovery!,1,0,0
case_000169,2.93688,0.0956606,19,1.40457,1.75211,0.343335,0,0,0,10.7377,19,0,Hungary is home to the largest hot spring in Europe.,1,0,0
case_000170,4.21688,-0.209841,26,1.29183,2.42168,0.0833333,0,0,0,12.7356,26,0,Serbia is where the first-ever basketball game was played in Europe.,0,0,0
