case_id,origin,speaker_id,recipe_id,recipe_role,voice_id,seed,line_id,category,transcript,wav,gold,gold_ready,source_uri
case_0027_20260629_094215_159_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000026_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,246790502,,,inputs/transcripts/case_0027_20260629_094215_159_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000026_00.txt,inputs/wav/case_0027_20260629_094215_159_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000026_00.wav,inputs/gold/case_0027_20260629_094215_159_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000026_00,1,
case_0028_20260629_094223_519_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000027_00,recorded,alfie,existing_corpus_v1,recreation,lana,1091170507,,,inputs/transcripts/case_0028_20260629_094223_519_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000027_00.txt,inputs/wav/case_0028_20260629_094223_519_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000027_00.wav,inputs/gold/case_0028_20260629_094223_519_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000027_00,1,
case_0029_20260629_094229_854_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000028_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,505698663,,,inputs/transcripts/case_0029_20260629_094229_854_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000028_00.txt,inputs/wav/case_0029_20260629_094229_854_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000028_00.wav,inputs/gold/case_0029_20260629_094229_854_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000028_00,1,
case_0030_20260629_094238_259_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000029_00,recorded,alfie,existing_corpus_v1,recreation,priestley,1793566668,,,inputs/transcripts/case_0030_20260629_094238_259_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000029_00.txt,inputs/wav/case_0030_20260629_094238_259_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000029_00.wav,inputs/gold/case_0030_20260629_094238_259_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000029_00,1,
case_0031_20260629_094249_917_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000030_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,1061050084,,,inputs/transcripts/case_0031_20260629_094249_917_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000030_00.txt,inputs/wav/case_0031_20260629_094249_917_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000030_00.wav,inputs/gold/case_0031_20260629_094249_917_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000030_00,1,
case_0032_20260629_094257_512_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000031_00,recorded,alfie,existing_corpus_v1,recreation,alfie,392043475,,,inputs/transcripts/case_0032_20260629_094257_512_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000031_00.txt,inputs/wav/case_0032_20260629_094257_512_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000031_00.wav,inputs/gold/case_0032_20260629_094257_512_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000031_00,1,
case_0033_20260629_094306_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000032_00,recorded,alfie,existing_corpus_v1,recreation,alfie,845643237,,,inputs/transcripts/case_0033_20260629_094306_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000032_00.txt,inputs/wav/case_0033_20260629_094306_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000032_00.wav,inputs/gold/case_0033_20260629_094306_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000032_00,1,
case_0034_20260629_094313_493_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000033_00,recorded,alfie,existing_corpus_v1,recreation,lana,762265547,,,inputs/transcripts/case_0034_20260629_094313_493_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000033_00.txt,inputs/wav/case_0034_20260629_094313_493_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000033_00.wav,inputs/gold/case_0034_20260629_094313_493_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000033_00,1,
case_0035_20260629_094323_803_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000034_00,recorded,alfie,existing_corpus_v1,recreation,priestley,1586087432,,,inputs/transcripts/case_0035_20260629_094323_803_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000034_00.txt,inputs/wav/case_0035_20260629_094323_803_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000034_00.wav,inputs/gold/case_0035_20260629_094323_803_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000034_00,1,
case_0036_20260629_094333_229_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000035_00,recorded,alfie,existing_corpus_v1,recreation,priestley,574011258,,,inputs/transcripts/case_0036_20260629_094333_229_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000035_00.txt,inputs/wav/case_0036_20260629_094333_229_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000035_00.wav,inputs/gold/case_0036_20260629_094333_229_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000035_00,1,
case_0037_20260629_094346_950_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000036_00,recorded,alfie,existing_corpus_v1,recreation,alfie,726424630,,,inputs/transcripts/case_0037_20260629_094346_950_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000036_00.txt,inputs/wav/case_0037_20260629_094346_950_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000036_00.wav,inputs/gold/case_0037_20260629_094346_950_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000036_00,1,
case_0038_20260629_094354_893_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000037_00,recorded,alfie,existing_corpus_v1,recreation,lana,42046640,,,inputs/transcripts/case_0038_20260629_094354_893_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000037_00.txt,inputs/wav/case_0038_20260629_094354_893_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000037_00.wav,inputs/gold/case_0038_20260629_094354_893_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000037_00,1,
case_0039_20260629_094402_705_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000038_00,recorded,alfie,existing_corpus_v1,recreation,lana,556882597,,,inputs/transcripts/case_0039_20260629_094402_705_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000038_00.txt,inputs/wav/case_0039_20260629_094402_705_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000038_00.wav,inputs/gold/case_0039_20260629_094402_705_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000038_00,1,
case_0040_20260629_094412_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000039_00,recorded,alfie,existing_corpus_v1,recreation,lana,1761473264,,,inputs/transcripts/case_0040_20260629_094412_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000039_00.txt,inputs/wav/case_0040_20260629_094412_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000039_00.wav,inputs/gold/case_0040_20260629_094412_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000039_00,1,
case_0041_20260629_094420_280_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000040_00,recorded,alfie,existing_corpus_v1,recreation,priestley,1088517553,,,inputs/transcripts/case_0041_20260629_094420_280_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000040_00.txt,inputs/wav/case_0041_20260629_094420_280_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000040_00.wav,inputs/gold/case_0041_20260629_094420_280_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000040_00,1,
case_0042_20260629_094428_367_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000041_00,recorded,alfie,existing_corpus_v1,recreation,priestley2,477945865,,,inputs/transcripts/case_0042_20260629_094428_367_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000041_00.txt,inputs/wav/case_0042_20260629_094428_367_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000041_00.wav,inputs/gold/case_0042_20260629_094428_367_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000041_00,1,
case_0043_20260629_094436_018_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000042_00,recorded,alfie,existing_corpus_v1,recreation,lana,204190335,,,inputs/transcripts/case_0043_20260629_094436_018_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000042_00.txt,inputs/wav/case_0043_20260629_094436_018_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000042_00.wav,inputs/gold/case_0043_20260629_094436_018_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000042_00,1,
case_0044_20260629_094441_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000043_00,recorded,alfie,existing_corpus_v1,recreation,lana,1298754519,,,inputs/transcripts/case_0044_20260629_094441_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000043_00.txt,inputs/wav/case_0044_20260629_094441_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000043_00.wav,inputs/gold/case_0044_20260629_094441_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000043_00,1,
case_0045_20260629_094447_931_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000044_00,recorded,alfie,existing_corpus_v1,recreation,lana,743765598,,,inputs/transcripts/case_0045_20260629_094447_931_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000044_00.txt,inputs/wav/case_0045_20260629_094447_931_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000044_00.wav,inputs/gold/case_0045_20260629_094447_931_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000044_00,1,
case_0046_20260629_094455_545_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000045_00,recorded,alfie,existing_corpus_v1,recreation,alfie,384353090,,,inputs/transcripts/case_0046_20260629_094455_545_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000045_00.txt,inputs/wav/case_0046_20260629_094455_545_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000045_00.wav,inputs/gold/case_0046_20260629_094455_545_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000045_00,1,
case_0047_20260629_094501_429_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000046_00,recorded,alfie,existing_corpus_v1,recreation,alfie,1295352512,,,inputs/transcripts/case_0047_20260629_094501_429_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000046_00.txt,inputs/wav/case_0047_20260629_094501_429_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000046_00.wav,inputs/gold/case_0047_20260629_094501_429_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000046_00,1,
case_0048_20260629_094511_055_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000047_00,recorded,alfie,existing_corpus_v1,recreation,alfie,366406837,,,inputs/transcripts/case_0048_20260629_094511_055_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000047_00.txt,inputs/wav/case_0048_20260629_094511_055_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000047_00.wav,inputs/gold/case_0048_20260629_094511_055_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000047_00,1,
case_0049_20260629_094519_661_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000048_00,recorded,alfie,existing_corpus_v1,recreation,priestley,2098833417,,,inputs/transcripts/case_0049_20260629_094519_661_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000048_00.txt,inputs/wav/case_0049_20260629_094519_661_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000048_00.wav,inputs/gold/case_0049_20260629_094519_661_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000048_00,1,
case_0050_20260629_094531_787_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000049_00,recorded,alfie,existing_corpus_v1,recreation,alfie,260020766,,,inputs/transcripts/case_0050_20260629_094531_787_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000049_00.txt,inputs/wav/case_0050_20260629_094531_787_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000049_00.wav,inputs/gold/case_0050_20260629_094531_787_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000049_00,1,
