case_id,transcript,wav,source_dir,text
case_0128_20260711_150345_967_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000016_00,inputs\transcripts\case_0128_20260711_150345_967_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000016_00.txt,inputs\wav\case_0128_20260711_150345_967_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000016_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150345_967_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000016_00,"Charcoal, mesquite, hickory, apple, cherry."
case_0129_20260711_150354_930_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000017_00,inputs\transcripts\case_0129_20260711_150354_930_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000017_00.txt,inputs\wav\case_0129_20260711_150354_930_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000017_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150354_930_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000017_00,"Sorry, no secrets here. Just good ol' chips and cold cuts."
case_0130_20260711_150404_166_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000018_00,inputs\transcripts\case_0130_20260711_150404_166_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000018_00.txt,inputs\wav\case_0130_20260711_150404_166_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000018_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150404_166_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000018_00,"Knife, cutting board, can opener, spatula, measuring cups."
case_0131_20260711_150414_038_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000019_00,inputs\transcripts\case_0131_20260711_150414_038_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000019_00.txt,inputs\wav\case_0131_20260711_150414_038_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000019_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150414_038_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000019_00,"Sandwiches, chips, maybe a hot dog. Simple stuff, but it hits the spot."
case_0132_20260711_150423_084_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000020_00,inputs\transcripts\case_0132_20260711_150423_084_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000020_00.txt,inputs\wav\case_0132_20260711_150423_084_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000020_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150423_084_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000020_00,"Grilling, baking, frying. Depends on the cut, really."
case_0133_20260711_150432_173_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000021_00,inputs\transcripts\case_0133_20260711_150432_173_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000021_00.txt,inputs\wav\case_0133_20260711_150432_173_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000021_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150432_173_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000021_00,"Chipotle and mango? Or how about truffle and raspberry? Strange, but tasty."
case_0134_20260711_150443_093_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000022_00,inputs\transcripts\case_0134_20260711_150443_093_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000022_00.txt,inputs\wav\case_0134_20260711_150443_093_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000022_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150443_093_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000022_00,"A margarita or a bloody mary? With chips, they're a match made in heaven."
case_0135_20260711_150455_815_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000023_00,inputs\transcripts\case_0135_20260711_150455_815_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000023_00.txt,inputs\wav\case_0135_20260711_150455_815_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000023_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150455_815_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000023_00,Add some heat or a dollop of mayo. Sometimes a simple fix works wonders.
case_0136_20260711_150505_489_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000024_00,inputs\transcripts\case_0136_20260711_150505_489_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000024_00.txt,inputs\wav\case_0136_20260711_150505_489_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000024_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150505_489_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000024_00,"Barbecue, lemon garlic, and honey mustard. Classic choices, but they work."
case_0137_20260711_150524_890_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000025_00,inputs\transcripts\case_0137_20260711_150524_890_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000025_00.txt,inputs\wav\case_0137_20260711_150524_890_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000025_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150524_890_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000025_00,"Gotcha. How about ""The Last of Us,"" ""Red Dead Redemption 2,"" or ""Hades""? Different vibes, all great"
case_0138_20260711_150545_135_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000026_00,inputs\transcripts\case_0138_20260711_150545_135_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000026_00.txt,inputs\wav\case_0138_20260711_150545_135_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000026_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150545_135_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000026_00,"The chosen one, the villain with a heart, and the unlikely friendship. Classics, you know."
case_0139_20260711_150556_006_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000027_00,inputs\transcripts\case_0139_20260711_150556_006_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000027_00.txt,inputs\wav\case_0139_20260711_150556_006_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000027_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150556_006_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000027_00,"Coral and algae, or bees and flowers. Both need each other to thrive."
case_0141_20260711_150615_074_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000029_00,inputs\transcripts\case_0141_20260711_150615_074_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000029_00.txt,inputs\wav\case_0141_20260711_150615_074_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000029_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150615_074_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000029_00,"Gnome, quixotic, flummox. Words that trip up even the best spellers."
case_0142_20260711_150629_279_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000030_00,inputs\transcripts\case_0142_20260711_150629_279_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000030_00.txt,inputs\wav\case_0142_20260711_150629_279_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000030_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150629_279_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000030_00,"Antarctica, the Mariana Trench, and the desert at noon. No thanks."
case_0143_20260711_150637_469_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000031_00,inputs\transcripts\case_0143_20260711_150637_469_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000031_00.txt,inputs\wav\case_0143_20260711_150637_469_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000031_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150637_469_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000031_00,"Magic tricks, pranks, and misdirection. Keeps things interesting."
case_0145_20260711_150656_786_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000033_00,inputs\transcripts\case_0145_20260711_150656_786_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000033_00.txt,inputs\wav\case_0145_20260711_150656_786_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000033_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150656_786_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000033_00,"Inventions? Light bulb, wheel, internet. Can't live without 'em."
case_0146_20260711_150706_500_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000034_00,inputs\transcripts\case_0146_20260711_150706_500_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000034_00.txt,inputs\wav\case_0146_20260711_150706_500_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000034_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150706_500_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000034_00,"Time travel, parallel universes, and alien invasions. Classics, all."
case_0147_20260711_150717_443_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000035_00,inputs\transcripts\case_0147_20260711_150717_443_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000035_00.txt,inputs\wav\case_0147_20260711_150717_443_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000035_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150717_443_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000035_00,"Lions, penguins, and sloths. Such diverse creatures."
case_0148_20260711_150727_044_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000036_00,inputs\transcripts\case_0148_20260711_150727_044_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000036_00.txt,inputs\wav\case_0148_20260711_150727_044_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000036_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150727_044_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000036_00,"Seconds, minutes, hours, days. And then there's the light-year."
case_0149_20260711_150735_667_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000037_00,inputs\transcripts\case_0149_20260711_150735_667_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000037_00.txt,inputs\wav\case_0149_20260711_150735_667_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000037_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150735_667_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000037_00,"How about the coast of Maine? Beautiful and peaceful, not as crowded as some places."
case_0150_20260711_150746_523_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000038_00,inputs\transcripts\case_0150_20260711_150746_523_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000038_00.txt,inputs\wav\case_0150_20260711_150746_523_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000038_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150746_523_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000038_00,"Queuing politely, saying please and thank you, keeping your voice down in public. Basics we often take for granted."
case_0151_20260711_150756_506_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000039_00,inputs\transcripts\case_0151_20260711_150756_506_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000039_00.txt,inputs\wav\case_0151_20260711_150756_506_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000039_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150756_506_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000039_00,"Try ""The Night Circus"" or ""Educated."" Both are fantastic."
case_0152_20260711_150808_667_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000040_00,inputs\transcripts\case_0152_20260711_150808_667_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000040_00.txt,inputs\wav\case_0152_20260711_150808_667_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000040_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150808_667_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000040_00,"Diamonds, rubies, sapphires, emeralds. Each has its own shine."
case_0153_20260711_150818_296_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000041_00,inputs\transcripts\case_0153_20260711_150818_296_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000041_00.txt,inputs\wav\case_0153_20260711_150818_296_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000041_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150818_296_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000041_00,"Like ""Moonlight"" or ""Parasite""? Silent recommendations can be the best."
case_0154_20260711_150827_087_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000042_00,inputs\transcripts\case_0154_20260711_150827_087_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000042_00.txt,inputs\wav\case_0154_20260711_150827_087_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000042_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150827_087_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000042_00,The Day of the Dead in Mexico or the Firewalk Festival in New Orleans. Each has its own flair.
case_0155_20260711_150837_044_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000043_00,inputs\transcripts\case_0155_20260711_150837_044_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000043_00.txt,inputs\wav\case_0155_20260711_150837_044_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000043_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150837_044_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000043_00,"Try ""The Signal"" or ""The Vanishing."" Great for a good listen."
case_0156_20260711_150852_730_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000044_00,inputs\transcripts\case_0156_20260711_150852_730_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000044_00.txt,inputs\wav\case_0156_20260711_150852_730_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000044_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150852_730_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000044_00,Better stick to the veggies in the garden. Safe bets all around.
case_0157_20260711_150900_675_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000045_00,inputs\transcripts\case_0157_20260711_150900_675_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000045_00.txt,inputs\wav\case_0157_20260711_150900_675_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000045_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150900_675_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000045_00,"Roses, ferns, orchids, cacti. So many to choose from!"
case_0158_20260711_150909_813_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000046_00,inputs\transcripts\case_0158_20260711_150909_813_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000046_00.txt,inputs\wav\case_0158_20260711_150909_813_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000046_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150909_813_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000046_00,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune. Basic solar system tour."
case_0159_20260711_150929_897_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000047_00,inputs\transcripts\case_0159_20260711_150929_897_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000047_00.txt,inputs\wav\case_0159_20260711_150929_897_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000047_00.wav,C:\Users\matthewpriestley_kil\Documents\Unreal Projects\OffgridAIDemo\Saved\Logs\OffgridAI\LipsyncDebug\20260711_150929_897_Alfie_Line_ADBFA7D947B19367167E629907BA596B_000047_00,"Ancient Egypt, Renaissance, Wild West, Space Age. Each with its own story."
