case_id,status,bucket,risk_score,flag_count,fallback_count,unmapped_viseme_count,word_text_mismatch_count,word_count_mismatch_count,label_mismatch_count,monotonic_adjustment_count,speech_region_count,word_count,word_head_count,viseme_count,phrase_count,sentence_count
case_0096_20260629_104403_462_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000096_00,draft,needs_review,11,6,0,0,0,0,1,0,4,16,16,26,4,4
case_0017_20260629_094007_645_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000016_00,draft,needs_review,10,3,0,0,0,0,3,0,1,13,13,19,1,1
case_0030_20260629_094238_259_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000029_00,draft,needs_review,10,7,0,0,0,0,1,0,2,13,13,24,2,2
case_0034_20260629_094313_493_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000033_00,draft,needs_review,10,5,0,0,0,0,2,0,2,10,10,17,2,2
case_0059_20260629_103647_174_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000058_00,draft,needs_review,10,8,0,0,0,0,0,0,2,14,14,21,2,2
case_0067_20260629_103906_082_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000066_00,draft,needs_review,10,3,0,0,0,0,3,0,2,11,11,17,2,2
case_0069_20260629_103920_849_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000068_00,draft,needs_review,10,4,0,0,1,0,0,0,1,6,6,9,2,1
case_0073_20260629_103955_709_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000072_00,draft,needs_review,10,4,0,0,0,0,2,0,1,10,10,14,2,2
case_0077_20260629_104024_884_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000076_00,draft,needs_review,10,4,0,0,0,0,2,0,2,11,11,17,2,2
case_0105_20260629_104735_128_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000105_00,draft,needs_review,10,6,0,0,0,0,1,0,3,9,9,21,3,3
case_0004_20260629_093801_432_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000003_00,draft,needs_review,9,4,0,0,0,0,2,0,2,9,9,20,2,2
case_0012_20260629_093929_211_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000011_00,draft,needs_review,9,4,0,0,0,0,2,0,1,11,11,14,2,1
case_0032_20260629_094257_512_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000031_00,draft,needs_review,9,4,0,0,0,0,2,0,1,9,9,12,2,2
case_0037_20260629_094346_950_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000036_00,draft,needs_review,9,5,0,0,0,0,1,0,2,10,10,15,2,2
case_0039_20260629_094402_705_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000038_00,draft,needs_review,9,5,0,0,0,0,1,0,2,14,14,21,3,2
case_0041_20260629_094420_280_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000040_00,draft,needs_review,9,6,0,0,0,0,1,0,1,10,10,15,1,1
case_0042_20260629_094428_367_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000041_00,draft,needs_review,9,3,0,0,0,0,3,0,1,10,10,16,1,1
case_0045_20260629_094447_931_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000044_00,draft,needs_review,9,4,0,0,0,0,1,0,1,8,8,11,1,1
case_0057_20260629_103630_720_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000056_00,draft,needs_review,9,4,0,0,0,0,2,0,2,12,12,23,2,2
case_0062_20260629_103713_061_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000061_00,draft,needs_review,9,2,0,0,0,0,3,0,1,12,12,16,1,1
case_0084_20260629_104205_560_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000084_00,draft,needs_review,9,6,0,0,0,0,1,0,2,12,12,24,3,3
case_0089_20260629_104253_186_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000089_00,draft,needs_review,9,5,0,0,0,0,1,0,2,10,10,17,2,2
case_0098_20260629_104421_809_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000098_00,draft,needs_review,9,4,0,0,0,0,1,0,3,7,7,13,3,3
case_0014_20260629_093947_935_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000013_00,draft,needs_review,8,6,0,0,0,0,1,0,1,11,11,17,1,1
case_0020_20260629_094125_260_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000019_00,draft,needs_review,8,4,0,0,0,0,2,0,1,8,8,19,1,1
case_0033_20260629_094306_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000032_00,draft,needs_review,8,5,0,0,0,0,1,0,2,10,10,17,2,2
case_0047_20260629_094501_429_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000046_00,draft,needs_review,8,4,0,0,0,0,1,0,2,11,11,16,4,2
case_0061_20260629_103704_918_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000060_00,draft,needs_review,8,2,0,0,0,0,2,0,2,13,13,21,2,2
case_0065_20260629_103735_824_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000064_00,draft,needs_review,8,4,0,0,0,0,1,0,2,10,10,17,2,2
case_0072_20260629_103948_587_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000071_00,draft,needs_review,8,5,0,0,0,0,1,0,1,7,7,11,2,2
case_0086_20260629_104220_891_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000086_00,draft,needs_review,8,7,0,0,0,0,0,0,2,13,13,21,2,2
case_0095_20260629_104354_201_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000095_00,draft,needs_review,8,2,0,0,0,0,2,0,3,10,10,20,3,2
case_0097_20260629_104413_797_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000097_00,draft,needs_review,8,4,0,0,0,0,1,0,3,10,10,20,4,4
case_0099_20260629_104429_509_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000099_00,draft,needs_review,8,4,0,0,0,0,1,0,3,11,11,19,4,3
case_0029_20260629_094229_854_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000028_00,draft,needs_review,7,4,0,0,0,0,1,0,2,10,10,17,2,2
case_0043_20260629_094436_018_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000042_00,draft,needs_review,7,3,0,0,0,0,2,0,1,9,9,14,1,1
case_0063_20260629_103720_271_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000062_00,draft,needs_review,7,3,0,0,0,0,2,0,1,9,9,16,1,1
case_0068_20260629_103912_811_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000067_00,draft,needs_review,7,4,0,0,0,0,1,0,2,13,13,22,2,2
case_0080_20260629_104049_772_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000079_00,draft,needs_review,7,2,0,0,0,0,2,0,2,7,7,13,2,2
case_0082_20260629_104104_640_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000081_00,draft,needs_review,7,3,0,0,0,0,2,0,1,7,7,12,2,2
case_0093_20260629_104341_467_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000093_00,draft,needs_review,7,4,0,0,0,0,1,0,2,10,10,16,2,2
case_0094_20260629_104347_149_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000094_00,draft,needs_review,7,2,0,0,0,0,2,0,2,8,8,13,2,2
case_0104_20260629_104517_381_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000104_00,draft,needs_review,7,5,0,0,0,0,0,0,1,8,8,19,4,3
case_0001_20260629_093726_076_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000000_00,draft,needs_review,6,0,0,0,0,0,3,0,1,9,9,11,2,1
case_0018_20260629_094015_208_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000017_00,draft,needs_review,6,2,0,0,0,0,2,0,1,11,11,19,1,1
case_0023_20260629_094147_704_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000022_00,draft,needs_review,6,2,0,0,0,0,2,0,1,10,10,18,2,2
case_0026_20260629_094209_257_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000025_00,draft,needs_review,6,3,0,0,0,0,1,0,1,6,6,12,1,1
case_0027_20260629_094215_159_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000026_00,draft,needs_review,6,3,0,0,0,0,1,0,2,10,10,20,2,2
case_0044_20260629_094441_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000043_00,draft,needs_review,6,3,0,0,0,0,1,0,1,7,7,10,1,1
case_0053_20260629_103547_528_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000052_00,draft,needs_review,6,3,0,0,0,0,1,0,2,13,13,24,2,2
case_0075_20260629_104011_926_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000074_00,draft,needs_review,6,2,0,0,0,0,2,0,1,7,7,13,1,1
case_0103_20260629_104510_162_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000103_00,draft,needs_review,6,4,0,0,0,0,0,0,2,7,7,14,3,3
case_0106_20260629_104751_112_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000106_00,draft,needs_review,6,4,0,0,0,0,0,0,1,7,7,15,3,3
case_0011_20260629_093922_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000010_00,draft,needs_review,5,5,0,0,0,0,0,0,1,11,11,22,1,1
case_0016_20260629_094001_338_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000015_00,draft,needs_review,5,3,0,0,0,0,1,0,1,7,7,17,1,1
case_0022_20260629_094140_141_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000021_00,draft,needs_review,5,2,0,0,0,0,1,0,2,11,11,20,2,2
case_0024_20260629_094154_366_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000023_00,draft,needs_review,5,4,0,0,0,0,0,0,2,12,12,25,2,2
case_0025_20260629_094202_889_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000024_00,draft,needs_review,5,3,0,0,0,0,1,0,1,9,9,15,1,1
case_0028_20260629_094223_519_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000027_00,draft,needs_review,5,3,0,0,0,0,1,0,1,6,6,11,1,1
case_0031_20260629_094249_917_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000030_00,draft,needs_review,5,4,0,0,0,0,0,0,2,10,10,19,2,2
case_0038_20260629_094354_893_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000037_00,draft,needs_review,5,3,0,0,0,0,0,0,2,13,13,19,3,2
case_0066_20260629_103857_453_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000065_00,draft,needs_review,5,4,0,0,0,0,0,0,2,9,9,19,2,2
case_0085_20260629_104213_497_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000085_00,draft,needs_review,5,2,0,0,0,0,1,0,2,8,8,15,2,2
case_0101_20260629_104453_591_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000101_00,draft,needs_review,5,2,0,0,0,0,1,0,2,11,11,18,2,2
case_0102_20260629_104502_054_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000102_00,draft,needs_review,5,3,0,0,0,0,0,0,3,10,10,21,4,3
case_0007_20260629_093832_958_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000006_00,draft,needs_review,4,4,0,0,0,0,0,0,1,12,12,19,1,1
case_0087_20260629_104236_618_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000087_00,draft,needs_review,4,2,0,0,0,0,1,0,2,10,10,15,2,2
case_0019_20260629_094021_972_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000018_00,draft,needs_review,3,3,0,0,0,0,0,0,1,9,9,15,1,1
case_0046_20260629_094455_545_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000045_00,draft,likely_easy,3,1,0,0,0,0,1,0,1,7,7,13,1,1
case_0040_20260629_094412_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000039_00,draft,likely_easy,2,2,0,0,0,0,0,0,1,9,9,21,1,1
case_0049_20260629_094519_661_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000048_00,draft,likely_easy,2,2,0,0,0,0,0,0,1,8,8,13,1,1
case_0091_20260629_104326_164_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000091_00,draft,likely_easy,1,1,0,0,0,0,0,0,1,8,8,14,2,2
